traffic_density,horn_events_per_min,avg_speed,signal_wait_time,road_quality_score,stress_index,driver_experience_encoded,weather_Foggy,weather_Hot,weather_Rainy,congestion_score,horn_density
11,0.35,76.73,12.21,7.06,26.59,0.0,0,0,0,1.3431,0.029166666666666664
97,15.55,42.34,58.7,4.8,69.27,1.0,1,0,0,56.93900000000001,0.15867346938775512
117,17.23,39.42,64.53,5.39,77.27,0.0,0,0,1,75.5001,0.14601694915254237
39,2.74,72.1,25.9,8.81,34.67,1.0,0,1,0,10.100999999999999,0.0685
47,10.0,58.23,29.07,5.89,48.95,1.0,0,0,0,13.6629,0.20833333333333334
11,3.55,73.13,13.65,8.23,20.89,1.0,0,1,0,1.5015,0.29583333333333334
73,9.42,54.56,39.4,7.18,43.8,1.0,0,0,0,28.761999999999997,0.1272972972972973
69,10.31,51.57,36.56,8.72,49.27,0.0,0,0,0,25.2264,0.1472857142857143
30,4.11,63.53,20.02,9.8,32.38,0.0,0,0,0,6.006,0.13258064516129034
42,10.41,72.82,26.62,5.53,33.55,2.0,0,0,0,11.180399999999999,0.24209302325581394
85,9.12,49.08,45.51,9.26,54.65,1.0,0,0,1,38.6835,0.10604651162790697
67,6.71,49.95,35.53,5.03,49.18,0.0,0,0,1,23.805100000000003,0.0986764705882353
31,5.86,63.82,10.9,8.71,24.38,0.0,0,0,0,3.3790000000000004,0.183125
117,13.57,37.59,59.26,6.08,78.28,0.0,0,0,0,69.3342,0.115
98,11.95,34.82,58.91,2.69,73.46,0.0,0,0,0,57.73179999999999,0.1207070707070707
58,9.64,60.87,33.26,10.0,40.05,1.0,0,0,0,19.2908,0.16338983050847458
100,6.71,40.58,53.91,6.78,62.67,0.0,0,0,0,53.91,0.06643564356435644
68,8.96,57.89,35.48,8.49,39.23,1.0,0,0,0,24.1264,0.12985507246376812
51,10.73,61.56,33.99,6.5,34.86,1.0,0,0,0,17.3349,0.20634615384615385
101,7.55,33.13,56.72,8.73,71.64,0.0,0,0,0,57.287200000000006,0.07401960784313726
69,10.48,57.1,41.64,5.53,44.66,1.0,1,0,0,28.7316,0.14971428571428572
89,10.71,48.85,46.33,6.07,51.2,1.0,0,0,0,41.2337,0.11900000000000001
24,3.73,69.74,20.69,8.21,25.88,0.0,0,0,0,4.9656,0.1492
71,8.16,54.24,39.92,6.79,35.38,1.0,0,0,0,28.343200000000003,0.11333333333333334
71,7.44,52.62,37.91,5.1,64.23,0.0,0,0,0,26.916099999999997,0.10333333333333333
56,9.19,47.93,38.44,7.87,37.43,1.0,0,0,1,21.5264,0.16122807017543858
71,11.4,51.39,41.83,7.71,46.07,1.0,0,1,0,29.699299999999997,0.15833333333333333
60,10.52,61.69,37.35,6.69,42.19,0.0,1,0,0,22.41,0.1724590163934426
117,19.62,26.12,61.74,5.71,66.0,1.0,0,0,1,72.2358,0.16627118644067798
64,8.72,56.98,34.73,6.79,40.79,1.0,0,0,0,22.227199999999996,0.13415384615384615
73,6.68,55.76,41.69,8.65,42.97,0.0,0,0,0,30.433699999999998,0.09027027027027026
12,3.23,69.75,16.57,6.3,24.01,0.0,0,0,1,1.9884,0.24846153846153846
110,15.81,33.14,63.64,3.75,87.67,0.0,1,0,0,70.00399999999999,0.14243243243243245
60,16.16,58.28,35.28,6.63,48.44,1.0,1,0,0,21.168000000000003,0.26491803278688525
16,2.12,76.62,11.18,6.91,21.9,1.0,0,0,0,1.7888,0.12470588235294118
30,5.36,71.51,25.04,7.38,35.72,1.0,0,0,0,7.512,0.17290322580645162
82,10.9,46.31,46.68,7.33,68.33,1.0,0,0,0,38.2776,0.13132530120481928
48,6.19,59.44,30.81,8.29,32.77,1.0,0,0,0,14.788799999999998,0.1263265306122449
27,13.46,75.58,20.84,6.76,23.97,1.0,1,0,0,5.626799999999999,0.48071428571428576
13,2.84,68.16,11.7,6.68,26.05,1.0,0,0,0,1.521,0.20285714285714285
98,9.55,37.29,51.69,7.51,64.45,0.0,0,0,0,50.6562,0.09646464646464648
69,14.51,50.63,41.58,3.58,47.34,2.0,1,0,0,28.6902,0.2072857142857143
23,5.78,71.38,16.49,6.15,30.82,2.0,0,0,0,3.7927,0.24083333333333334
18,3.98,71.27,8.6,6.18,26.38,1.0,0,0,0,1.5479999999999998,0.2094736842105263
99,10.77,42.17,56.34,6.58,59.07,2.0,0,0,0,55.77660000000001,0.10769999999999999
62,7.47,53.66,36.46,4.69,51.68,1.0,0,0,0,22.6052,0.11857142857142856
11,3.28,76.69,8.51,7.22,19.73,2.0,0,0,0,0.9361,0.2733333333333333
93,12.52,46.36,53.93,6.45,50.72,1.0,0,0,1,50.1549,0.13319148936170214
101,15.82,36.77,56.32,4.09,68.56,1.0,1,0,0,56.883199999999995,0.15509803921568627
69,8.34,52.02,34.68,5.89,36.75,1.0,0,0,1,23.9292,0.11914285714285715
80,6.34,53.52,45.53,7.12,51.14,1.0,0,0,1,36.424,0.07827160493827161
53,8.17,57.08,38.54,9.19,37.94,1.0,1,0,0,20.426199999999998,0.1512962962962963
17,2.38,77.5,13.16,10.0,18.13,2.0,0,0,0,2.2372,0.1322222222222222
56,6.67,64.26,30.55,6.75,38.53,0.0,1,0,0,17.108,0.11701754385964912
44,0.28,57.21,28.78,9.28,19.81,2.0,0,0,0,12.663200000000002,0.006222222222222223
87,12.29,46.67,47.44,8.99,37.01,2.0,0,0,0,41.2728,0.1396590909090909
90,10.67,43.67,46.87,8.09,54.85,1.0,0,0,0,42.183,0.11725274725274726
45,8.65,58.82,30.08,5.3,43.3,0.0,0,0,0,13.536,0.18804347826086956
59,8.15,60.95,36.9,8.25,35.33,1.0,0,1,0,21.771,0.13583333333333333
113,11.86,36.57,61.21,5.67,62.98,1.0,0,0,0,69.16730000000001,0.10403508771929824
13,2.68,78.15,12.81,8.69,23.41,1.0,0,0,0,1.6653,0.19142857142857145
11,0.45,75.44,6.72,6.61,28.38,2.0,0,0,1,0.7392,0.0375
15,5.96,77.45,6.96,6.72,22.65,1.0,0,0,0,1.044,0.3725
63,6.07,56.07,29.73,8.21,46.4,0.0,1,0,0,18.7299,0.09484375
115,11.56,34.44,64.01,10.0,68.36,0.0,0,1,0,73.6115,0.09965517241379311
13,0.65,68.98,11.54,7.93,20.11,0.0,0,0,0,1.5001999999999998,0.04642857142857143
63,5.97,51.53,29.94,10.0,35.95,2.0,0,0,0,18.8622,0.09328125
102,11.93,37.67,58.07,5.3,64.38,1.0,0,0,0,59.2314,0.1158252427184466
72,12.88,52.68,42.15,6.01,54.65,1.0,0,0,0,30.348,0.17643835616438358
27,1.95,66.44,21.32,6.55,28.01,1.0,0,0,0,5.7564,0.06964285714285715
99,14.88,43.67,52.93,5.97,58.51,1.0,0,0,0,52.4007,0.14880000000000002
53,7.57,62.48,34.35,8.69,27.69,2.0,1,0,0,18.2055,0.1401851851851852
43,4.76,66.14,25.35,5.89,41.61,0.0,0,0,0,10.9005,0.10818181818181817
83,8.76,59.88,51.61,5.87,66.88,0.0,0,0,0,42.8363,0.10428571428571429
71,9.29,46.23,40.06,4.19,69.77,0.0,0,0,0,28.442600000000002,0.12902777777777777
109,15.86,32.65,61.63,6.98,48.42,2.0,0,0,1,67.1767,0.1441818181818182
23,3.39,71.24,21.09,9.25,30.95,0.0,0,0,0,4.8507,0.14125000000000001
104,11.98,26.88,53.28,8.14,44.42,2.0,0,0,0,55.4112,0.1140952380952381
57,5.57,58.65,33.91,10.0,49.42,0.0,0,0,0,19.328699999999998,0.0960344827586207
24,2.19,61.52,14.12,9.19,26.05,1.0,0,0,0,3.3888,0.0876
81,4.12,39.18,45.92,9.28,54.19,0.0,0,0,0,37.1952,0.05024390243902439
87,9.76,46.33,53.57,10.0,31.27,2.0,0,1,0,46.6059,0.1109090909090909
96,15.09,41.22,48.85,8.28,63.07,0.0,1,0,0,46.896,0.15556701030927836
71,12.21,47.61,38.24,4.66,42.61,2.0,0,0,1,27.1504,0.16958333333333334
49,5.84,58.62,27.08,8.23,38.09,0.0,1,0,0,13.269199999999998,0.1168
94,8.91,42.26,53.42,8.04,49.95,1.0,0,0,1,50.214800000000004,0.09378947368421053
89,14.7,40.4,48.63,6.64,68.69,0.0,1,0,0,43.2807,0.16333333333333333
118,14.0,39.6,69.12,5.52,81.25,0.0,0,0,0,81.56160000000001,0.11764705882352941
91,12.16,42.27,49.3,8.33,49.99,1.0,0,0,1,44.863,0.13217391304347825
62,5.53,55.39,41.43,6.59,39.0,0.0,0,0,0,25.6866,0.08777777777777779
33,2.75,65.35,20.32,6.28,30.33,1.0,0,0,0,6.7056000000000004,0.08088235294117647
35,1.16,62.74,20.08,10.0,24.95,1.0,0,0,0,7.028,0.03222222222222222
98,11.94,40.55,58.97,9.69,51.68,1.0,0,0,1,57.7906,0.1206060606060606
69,6.83,54.33,39.33,4.12,53.85,1.0,0,0,0,27.1377,0.09757142857142857
118,13.3,32.52,61.25,10.0,56.05,1.0,0,0,1,72.275,0.11176470588235295
50,4.28,58.09,34.62,7.58,35.13,2.0,0,0,1,17.31,0.08392156862745098
38,2.84,66.67,21.53,8.56,40.29,0.0,0,0,0,8.181400000000002,0.07282051282051281
24,4.49,70.14,16.53,9.09,26.6,0.0,0,0,0,3.9672,0.1796
54,4.77,67.16,34.38,9.56,28.2,1.0,0,0,0,18.5652,0.08672727272727272
74,10.63,45.76,38.96,8.87,35.8,1.0,0,0,0,28.8304,0.14173333333333335
98,12.92,43.28,53.41,5.67,54.3,1.0,0,0,1,52.34179999999999,0.1305050505050505
80,16.79,53.43,42.44,8.29,40.85,2.0,0,0,1,33.952,0.20728395061728394
18,1.71,71.44,12.02,9.19,17.62,1.0,0,0,0,2.1635999999999997,0.09
97,11.94,44.9,53.79,9.51,46.89,1.0,1,0,0,52.1763,0.12183673469387754
10,6.09,77.27,8.18,4.97,13.97,1.0,1,0,0,0.818,0.5536363636363636
117,11.47,43.3,59.34,8.63,81.23,0.0,0,0,0,69.4278,0.09720338983050848
17,0.0,76.07,17.39,8.87,13.87,2.0,0,0,1,2.9563,0.0
97,10.05,33.75,54.52,5.49,64.64,1.0,0,0,0,52.88440000000001,0.10255102040816327
72,8.25,54.18,42.07,8.37,37.13,1.0,0,0,1,30.290399999999998,0.11301369863013698
20,0.0,73.77,13.93,6.6,21.39,1.0,0,0,0,2.786,0.0
90,13.84,49.71,58.59,5.82,61.47,1.0,0,0,1,52.731,0.15208791208791209
17,6.56,78.79,9.99,5.28,26.72,0.0,0,0,0,1.6983000000000001,0.3644444444444444
44,4.29,61.29,27.85,6.51,41.8,0.0,0,1,0,12.254000000000001,0.09533333333333334
44,6.04,59.12,27.35,8.6,40.91,0.0,0,0,0,12.034,0.13422222222222221
42,10.33,74.78,26.99,2.26,40.05,1.0,0,0,0,11.335799999999999,0.2402325581395349
14,3.54,77.05,9.87,4.63,21.62,2.0,0,0,0,1.3817999999999997,0.23600000000000002
115,20.94,38.15,66.05,6.04,66.94,1.0,1,0,0,75.9575,0.18051724137931036
112,11.22,34.38,62.41,9.38,47.97,1.0,0,0,1,69.89920000000001,0.09929203539823009
50,6.52,61.9,27.68,6.86,33.55,1.0,0,1,0,13.84,0.12784313725490196
37,4.86,62.61,23.63,9.55,32.64,0.0,1,0,0,8.7431,0.12789473684210528
16,4.33,70.07,11.1,6.17,35.29,0.0,0,0,1,1.776,0.25470588235294117
82,12.15,47.12,48.08,3.93,63.35,1.0,0,0,0,39.4256,0.1463855421686747
81,12.28,44.23,42.85,4.16,69.11,0.0,0,0,0,34.7085,0.1497560975609756
21,3.42,69.02,12.54,5.86,23.12,1.0,0,1,0,2.6334,0.15545454545454546
43,7.78,63.38,25.55,3.75,36.12,2.0,0,1,0,10.986500000000001,0.17681818181818182
42,4.48,61.05,23.31,7.2,32.98,0.0,0,0,0,9.7902,0.10418604651162791
57,7.0,65.85,34.78,10.0,37.42,0.0,0,0,1,19.8246,0.1206896551724138
32,5.56,67.38,21.32,4.34,32.2,1.0,0,0,1,6.8224,0.16848484848484846
71,8.3,55.61,37.88,8.6,48.54,0.0,0,0,1,26.8948,0.11527777777777778
97,8.9,37.58,50.7,9.92,49.82,1.0,1,0,0,49.179,0.09081632653061225
46,5.68,63.33,32.08,6.2,36.98,1.0,0,0,0,14.756799999999998,0.12085106382978723
108,14.08,32.23,56.74,6.46,73.37,0.0,1,0,0,61.2792,0.1291743119266055
53,9.99,53.81,31.13,4.46,35.69,1.0,0,0,0,16.4989,0.185
113,15.06,31.27,60.56,4.3,77.03,1.0,0,0,0,68.4328,0.13210526315789475
95,12.78,34.69,57.27,7.39,60.27,1.0,0,0,0,54.40650000000001,0.133125
100,16.95,47.48,53.7,10.0,52.5,1.0,0,0,1,53.7,0.1678217821782178
44,3.0,62.96,23.57,5.87,26.96,2.0,0,0,1,10.3708,0.06666666666666667
74,10.73,57.99,41.88,8.26,36.02,2.0,0,0,1,30.991200000000003,0.14306666666666668
108,17.05,31.95,65.07,5.16,57.58,2.0,0,0,1,70.2756,0.15642201834862385
110,15.28,37.71,66.27,5.72,78.17,0.0,0,0,1,72.89699999999999,0.13765765765765764
56,8.51,62.21,36.68,4.91,54.87,1.0,0,0,0,20.5408,0.1492982456140351
87,11.01,46.43,51.16,5.53,70.46,1.0,0,1,0,44.5092,0.12511363636363637
12,0.0,70.39,18.67,7.23,18.89,1.0,0,0,0,2.2404,0.0
10,3.87,69.75,10.66,3.61,38.09,1.0,0,0,1,1.0659999999999998,0.3518181818181818
14,0.92,72.22,10.7,6.74,25.45,1.0,0,0,0,1.4979999999999998,0.06133333333333334
99,12.66,36.11,56.19,2.77,72.6,1.0,0,0,0,55.628099999999996,0.1266
23,6.87,76.97,16.89,6.04,38.7,1.0,0,0,0,3.8847000000000005,0.28625
112,18.7,33.42,61.2,4.52,67.55,1.0,0,1,0,68.54400000000001,0.1654867256637168
36,2.31,64.4,22.61,9.82,31.87,1.0,0,0,0,8.1396,0.06243243243243243
18,0.0,73.12,16.1,7.37,33.7,0.0,0,0,0,2.898,0.0
88,13.06,45.83,46.81,6.59,43.18,2.0,1,0,0,41.192800000000005,0.14674157303370788
24,3.37,70.21,18.42,4.23,36.14,0.0,0,0,0,4.420800000000001,0.1348
99,15.12,36.03,49.63,6.92,65.78,0.0,1,0,0,49.1337,0.1512
51,9.34,63.17,31.73,6.43,35.55,1.0,1,0,0,16.1823,0.17961538461538462
86,15.34,49.48,46.41,7.47,54.39,1.0,0,0,1,39.9126,0.17632183908045976
60,4.1,54.09,33.79,6.54,38.32,1.0,0,0,0,20.273999999999997,0.06721311475409836
72,8.1,52.77,41.44,5.44,39.38,2.0,0,0,0,29.836799999999997,0.11095890410958903
105,13.98,33.16,58.58,6.95,58.21,2.0,0,0,0,61.50899999999999,0.1318867924528302
112,14.6,44.73,62.22,4.05,86.85,0.0,0,0,0,69.68639999999999,0.12920353982300883
61,12.49,60.51,33.53,1.44,61.2,0.0,0,0,0,20.453300000000002,0.2014516129032258
105,17.87,41.79,57.61,5.11,66.96,1.0,1,0,0,60.490500000000004,0.16858490566037737
13,4.25,75.89,11.53,4.14,27.16,2.0,0,0,1,1.4989,0.30357142857142855
103,13.42,37.89,56.38,9.32,64.42,0.0,0,0,0,58.071400000000004,0.12903846153846155
110,12.17,31.26,57.95,9.54,54.19,2.0,0,0,0,63.745,0.10963963963963964
32,4.23,65.1,19.73,8.42,36.68,0.0,0,0,1,6.3136,0.1281818181818182
112,12.3,32.85,62.22,6.74,66.23,1.0,0,0,0,69.68639999999999,0.1088495575221239
118,16.1,29.57,61.93,4.97,83.9,0.0,1,0,0,73.0774,0.13529411764705884
24,3.33,73.74,19.29,6.92,22.34,0.0,0,0,0,4.6296,0.1332
52,17.0,58.81,29.64,5.05,37.61,1.0,1,0,0,15.412799999999999,0.32075471698113206
38,7.29,65.4,21.61,5.41,32.2,1.0,0,0,1,8.2118,0.18692307692307691
45,5.77,59.07,31.49,5.38,30.36,2.0,0,1,0,14.170499999999999,0.12543478260869564
22,0.6,68.89,15.1,8.65,26.38,2.0,0,0,0,3.322,0.02608695652173913
41,1.14,63.71,23.18,6.37,38.53,1.0,0,0,0,9.5038,0.027142857142857142
80,15.38,46.57,47.08,1.78,69.34,1.0,0,0,1,37.663999999999994,0.18987654320987654
68,12.81,64.57,36.62,5.27,50.54,1.0,0,1,0,24.9016,0.18565217391304348
95,12.79,42.8,55.62,6.71,68.24,0.0,0,0,1,52.839,0.13322916666666665
37,7.21,67.31,22.36,7.23,31.16,1.0,0,0,1,8.2732,0.18973684210526315
75,11.08,50.71,42.77,3.92,47.96,1.0,0,0,0,32.07750000000001,0.14578947368421052
51,7.53,56.95,30.93,8.25,30.28,2.0,0,0,0,15.7743,0.1448076923076923
54,4.02,48.37,30.19,8.99,26.94,2.0,0,0,0,16.302599999999998,0.07309090909090908
71,10.66,41.4,39.57,7.81,50.43,0.0,0,0,1,28.0947,0.14805555555555555
66,8.66,59.86,41.31,7.08,46.81,1.0,0,0,0,27.2646,0.12925373134328358
15,1.33,75.61,14.73,8.06,19.77,0.0,0,0,0,2.2095000000000002,0.083125
37,4.34,63.79,24.96,7.75,30.54,1.0,0,0,1,9.235199999999999,0.11421052631578947
37,5.2,81.27,14.29,5.05,38.15,1.0,0,1,0,5.2873,0.1368421052631579
117,12.25,41.2,62.64,8.93,65.27,1.0,0,0,1,73.2888,0.1038135593220339
53,9.01,52.17,36.23,9.18,31.95,1.0,0,0,1,19.2019,0.16685185185185183
93,10.74,43.04,44.07,3.49,42.66,2.0,0,1,0,40.9851,0.11425531914893618
39,7.12,61.27,26.1,4.01,40.94,1.0,0,0,0,10.179,0.178
71,9.89,57.78,40.95,7.46,47.99,1.0,0,0,0,29.074500000000004,0.13736111111111113
84,12.65,49.4,41.43,7.61,60.22,0.0,0,0,1,34.8012,0.14882352941176472
101,8.98,41.93,59.14,8.79,41.86,2.0,0,0,0,59.7314,0.08803921568627451
98,12.47,44.02,51.84,8.85,50.95,1.0,0,0,0,50.803200000000004,0.12595959595959597
112,11.81,34.23,53.82,8.04,59.51,1.0,0,0,0,60.278400000000005,0.10451327433628319
71,11.29,45.05,40.8,6.88,41.04,2.0,0,0,1,28.967999999999996,0.15680555555555553
106,12.04,41.73,58.28,5.1,66.65,1.0,0,0,0,61.7768,0.1125233644859813
10,0.7,79.25,8.7,8.79,18.02,1.0,0,0,0,0.87,0.06363636363636363
36,3.73,66.0,21.68,8.36,26.1,1.0,0,0,0,7.8048,0.10081081081081081
71,8.91,48.8,41.9,8.83,46.97,1.0,0,0,0,29.749000000000002,0.12375
86,9.1,45.46,42.57,4.42,71.54,0.0,0,1,0,36.6102,0.10459770114942528
114,9.19,24.98,63.92,9.28,72.29,1.0,0,1,0,72.86880000000001,0.07991304347826086
12,2.48,76.77,7.27,9.16,14.35,0.0,1,0,0,0.8724,0.19076923076923077
112,17.3,39.1,64.58,5.1,71.29,1.0,0,1,0,72.3296,0.15309734513274337
79,5.98,47.32,43.6,7.39,66.07,0.0,0,0,0,34.444,0.07475000000000001
81,11.05,41.93,48.95,7.89,37.58,2.0,1,0,0,39.6495,0.13475609756097562
36,6.95,68.04,14.8,8.88,35.33,0.0,0,0,0,5.328,0.18783783783783783
18,5.48,71.79,13.81,6.65,28.35,1.0,0,0,1,2.4858000000000002,0.28842105263157897
71,7.95,48.74,39.02,6.45,46.31,1.0,0,0,0,27.7042,0.11041666666666666
46,10.67,61.97,26.63,6.94,39.57,1.0,1,0,0,12.2498,0.22702127659574467
106,11.94,38.16,57.98,5.12,56.29,1.0,0,0,0,61.458800000000004,0.11158878504672896
60,7.61,59.04,34.49,7.04,31.62,2.0,0,0,0,20.694000000000003,0.12475409836065575
115,16.22,33.1,61.39,8.07,49.72,2.0,1,0,0,70.5985,0.13982758620689653
53,5.13,58.16,35.15,8.29,39.5,0.0,0,0,1,18.629499999999997,0.095
33,6.01,72.53,15.39,6.45,31.86,1.0,0,0,1,5.0787,0.17676470588235293
88,10.88,43.51,53.37,8.32,46.62,1.0,0,0,1,46.965599999999995,0.12224719101123596
68,3.07,51.89,41.23,7.35,39.0,2.0,0,0,0,28.0364,0.04449275362318841
41,6.8,60.8,26.04,7.04,40.49,0.0,0,0,1,10.6764,0.1619047619047619
105,10.82,40.69,60.24,10.0,69.41,0.0,0,0,0,63.251999999999995,0.10207547169811321
97,11.0,45.78,54.45,7.55,60.02,0.0,1,0,0,52.816500000000005,0.11224489795918367
114,16.89,32.52,68.34,6.74,61.33,1.0,0,0,1,77.9076,0.1468695652173913
61,10.07,53.92,31.24,7.29,43.31,0.0,0,1,0,19.0564,0.16241935483870967
71,10.09,55.28,40.19,7.03,50.6,1.0,0,0,0,28.534899999999997,0.1401388888888889
67,10.55,51.02,37.02,6.59,40.03,2.0,0,0,0,24.8034,0.15514705882352942
61,7.08,59.23,41.2,8.43,34.07,2.0,0,0,0,25.132,0.11419354838709678
21,3.33,74.29,15.78,7.2,28.16,1.0,0,0,0,3.3138,0.15136363636363637
48,5.45,68.33,30.95,9.12,24.53,2.0,0,0,0,14.856,0.11122448979591837
11,5.4,86.14,16.27,6.73,25.37,0.0,1,0,0,1.7897,0.45
12,5.41,68.75,11.76,10.0,13.98,1.0,0,0,0,1.4112,0.41615384615384615
110,14.41,44.57,61.69,6.98,70.0,1.0,0,0,1,67.859,0.12981981981981983
65,11.96,51.95,38.51,7.09,39.62,1.0,0,0,0,25.0315,0.1812121212121212
90,9.82,43.72,48.65,5.97,53.92,1.0,0,0,0,43.785,0.10791208791208791
68,10.84,54.25,41.19,7.71,34.1,2.0,0,0,1,28.0092,0.15710144927536232
11,3.02,77.34,15.71,10.0,10.61,0.0,1,0,0,1.7281,0.25166666666666665
11,5.23,71.28,12.74,7.11,25.36,1.0,0,0,0,1.4014000000000002,0.43583333333333335
101,10.16,39.02,55.02,8.65,58.82,0.0,0,0,0,55.57020000000001,0.0996078431372549
63,6.7,58.42,37.99,6.64,27.49,2.0,0,0,0,23.9337,0.1046875
96,17.75,50.55,52.94,2.06,76.37,0.0,1,0,0,50.822399999999995,0.18298969072164947
110,12.01,35.65,62.64,10.0,66.37,0.0,0,0,1,68.904,0.10819819819819819
105,11.46,38.69,58.01,8.04,60.45,1.0,0,1,0,60.9105,0.10811320754716983
106,9.92,40.34,57.31,10.0,60.35,0.0,0,0,0,60.7486,0.09271028037383178
10,1.64,70.49,14.26,7.26,24.68,0.0,0,1,0,1.426,0.14909090909090908
28,5.57,75.76,18.39,6.64,11.08,2.0,1,0,0,5.1492,0.1920689655172414
11,0.77,74.65,7.89,6.97,25.55,1.0,1,0,0,0.8678999999999999,0.06416666666666666
62,4.41,62.19,38.62,8.42,43.35,0.0,0,0,0,23.9444,0.07
53,6.77,50.6,34.36,6.65,37.83,1.0,0,0,1,18.2108,0.12537037037037035
99,16.53,44.48,55.92,6.12,59.72,1.0,0,0,1,55.3608,0.1653
41,8.98,52.93,28.32,5.52,42.33,1.0,0,0,1,11.611200000000002,0.2138095238095238
79,6.66,45.43,42.61,7.07,41.5,2.0,0,0,0,33.6619,0.08325
41,9.46,61.43,25.62,8.85,34.78,1.0,0,0,1,10.5042,0.22523809523809527
77,9.73,45.97,36.9,7.67,51.12,1.0,0,1,0,28.412999999999997,0.12474358974358975
64,9.48,53.43,41.93,7.36,44.27,0.0,0,0,1,26.8352,0.14584615384615385
84,10.2,46.5,48.68,6.79,52.67,1.0,0,0,1,40.8912,0.12
65,11.46,56.2,31.21,4.97,36.82,2.0,0,0,1,20.2865,0.17363636363636364
26,4.19,65.34,24.5,7.88,32.24,0.0,0,0,1,6.37,0.1551851851851852
47,4.38,64.71,26.25,5.78,34.85,0.0,0,0,0,12.3375,0.09125
33,3.05,66.76,23.08,7.41,33.77,1.0,0,0,0,7.6164,0.08970588235294118
78,13.07,51.16,47.68,9.47,42.07,1.0,1,0,0,37.1904,0.16544303797468354
107,11.38,42.35,54.67,6.56,64.73,1.0,0,0,0,58.496900000000004,0.10537037037037038
79,12.92,56.98,46.06,5.08,51.89,2.0,1,0,0,36.3874,0.1615
95,12.77,42.68,53.1,8.26,51.75,1.0,1,0,0,50.445,0.13302083333333334
20,6.14,75.48,16.84,8.15,17.44,0.0,0,0,1,3.3680000000000003,0.29238095238095235
25,4.78,75.18,17.83,5.22,31.24,0.0,0,1,0,4.4575,0.18384615384615385
106,12.0,37.58,59.28,5.23,61.97,2.0,0,0,0,62.836800000000004,0.11214953271028037
82,13.75,49.11,45.28,7.82,48.32,2.0,0,0,0,37.1296,0.16566265060240964
68,11.89,51.56,37.29,9.2,41.68,1.0,0,0,0,25.3572,0.17231884057971014
79,9.16,56.73,45.74,8.35,43.86,1.0,0,1,0,36.1346,0.1145
89,10.16,44.55,49.54,5.99,47.04,2.0,0,1,0,44.090599999999995,0.11288888888888889
102,7.27,42.5,50.57,9.85,55.74,1.0,0,0,0,51.5814,0.07058252427184465
12,0.72,77.3,10.89,6.16,24.6,0.0,0,0,0,1.3068,0.05538461538461538
29,3.08,65.44,19.8,9.41,26.57,1.0,0,0,0,5.742000000000001,0.10266666666666667
68,13.63,45.66,42.6,9.51,47.24,1.0,0,0,1,28.968000000000004,0.19753623188405797
45,1.28,61.47,27.31,8.4,44.47,0.0,0,0,1,12.2895,0.02782608695652174
28,5.61,64.84,16.64,5.52,31.14,1.0,0,0,1,4.6592,0.19344827586206897
99,13.66,38.57,55.17,9.47,58.62,0.0,1,0,0,54.6183,0.1366
76,8.97,55.63,43.11,10.0,45.49,1.0,0,0,1,32.763600000000004,0.1164935064935065
28,3.27,72.93,19.3,9.42,22.92,0.0,0,0,0,5.404,0.11275862068965517
29,4.19,70.32,17.46,4.92,35.03,1.0,0,0,0,5.063400000000001,0.1396666666666667
105,18.78,37.2,55.09,4.6,73.67,1.0,1,0,0,57.84450000000001,0.17716981132075474
