road_quality_score,stress_index,driver_experience_encoded,congestion_score
6.59,43.18,2.0,41.192800000000005
4.23,36.14,0.0,4.420800000000001
6.92,65.78,0.0,49.1337
6.43,35.55,1.0,16.1823
7.47,54.39,1.0,39.9126
6.54,38.32,1.0,20.273999999999997
5.44,39.38,2.0,29.836799999999997
6.95,58.21,2.0,61.50899999999999
4.05,86.85,0.0,69.68639999999999
1.44,61.2,0.0,20.453300000000002
5.11,66.96,1.0,60.490500000000004
4.14,27.16,2.0,1.4989
9.32,64.42,0.0,58.071400000000004
9.54,54.19,2.0,63.745
8.42,36.68,0.0,6.3136
6.74,66.23,1.0,69.68639999999999
4.97,83.9,0.0,73.0774
6.92,22.34,0.0,4.6296
5.05,37.61,1.0,15.412799999999999
5.41,32.2,1.0,8.2118
5.38,30.36,2.0,14.170499999999999
8.65,26.38,2.0,3.322
6.37,38.53,1.0,9.5038
1.78,69.34,1.0,37.663999999999994
5.27,50.54,1.0,24.9016
6.71,68.24,0.0,52.839
7.23,31.16,1.0,8.2732
3.92,47.96,1.0,32.07750000000001
8.25,30.28,2.0,15.7743
8.99,26.94,2.0,16.302599999999998
7.81,50.43,0.0,28.0947
7.08,46.81,1.0,27.2646
8.06,19.77,0.0,2.2095000000000002
7.75,30.54,1.0,9.235199999999999
5.05,38.15,1.0,5.2873
8.93,65.27,1.0,73.2888
9.18,31.95,1.0,19.2019
3.49,42.66,2.0,40.9851
4.01,40.94,1.0,10.179
7.46,47.99,1.0,29.074500000000004
7.61,60.22,0.0,34.8012
8.79,41.86,2.0,59.7314
8.85,50.95,1.0,50.803200000000004
8.04,59.51,1.0,60.278400000000005
6.88,41.04,2.0,28.967999999999996
5.1,66.65,1.0,61.7768
8.79,18.02,1.0,0.87
8.36,26.1,1.0,7.8048
8.83,46.97,1.0,29.749000000000002
4.42,71.54,0.0,36.6102
9.28,72.29,1.0,72.86880000000001
9.16,14.35,0.0,0.8724
5.1,71.29,1.0,72.3296
7.39,66.07,0.0,34.444
7.89,37.58,2.0,39.6495
8.88,35.33,0.0,5.328
6.65,28.35,1.0,2.4858000000000002
6.45,46.31,1.0,27.7042
6.94,39.57,1.0,12.2498
5.12,56.29,1.0,61.458800000000004
7.04,31.62,2.0,20.694000000000003
8.07,49.72,2.0,70.5985
8.29,39.5,0.0,18.629499999999997
6.45,31.86,1.0,5.0787
8.32,46.62,1.0,46.965599999999995
7.35,39.0,2.0,28.0364
7.04,40.49,0.0,10.6764
10.0,69.41,0.0,63.251999999999995
7.55,60.02,0.0,52.816500000000005
6.74,61.33,1.0,77.9076
7.29,43.31,0.0,19.0564
7.03,50.6,1.0,28.534899999999997
6.59,40.03,2.0,24.8034
8.43,34.07,2.0,25.132
7.2,28.16,1.0,3.3138
9.12,24.53,2.0,14.856
6.73,25.37,0.0,1.7897
10.0,13.98,1.0,1.4112
6.98,70.0,1.0,67.859
7.09,39.62,1.0,25.0315
5.97,53.92,1.0,43.785
7.71,34.1,2.0,28.0092
10.0,10.61,0.0,1.7281
7.11,25.36,1.0,1.4014000000000002
8.65,58.82,0.0,55.57020000000001
6.64,27.49,2.0,23.9337
2.06,76.37,0.0,50.822399999999995
10.0,66.37,0.0,68.904
8.04,60.45,1.0,60.9105
10.0,60.35,0.0,60.7486
7.26,24.68,0.0,1.426
6.64,11.08,2.0,5.1492
6.97,25.55,1.0,0.8678999999999999
8.42,43.35,0.0,23.9444
6.65,37.83,1.0,18.2108
6.12,59.72,1.0,55.3608
5.52,42.33,1.0,11.611200000000002
7.07,41.5,2.0,33.6619
8.85,34.78,1.0,10.5042
7.67,51.12,1.0,28.412999999999997
7.36,44.27,0.0,26.8352
6.79,52.67,1.0,40.8912
4.97,36.82,2.0,20.2865
7.88,32.24,0.0,6.37
5.78,34.85,0.0,12.3375
7.41,33.77,1.0,7.6164
9.47,42.07,1.0,37.1904
6.56,64.73,1.0,58.496900000000004
5.08,51.89,2.0,36.3874
8.26,51.75,1.0,50.445
8.15,17.44,0.0,3.3680000000000003
5.22,31.24,0.0,4.4575
5.23,61.97,2.0,62.836800000000004
7.82,48.32,2.0,37.1296
9.2,41.68,1.0,25.3572
8.35,43.86,1.0,36.1346
5.99,47.04,2.0,44.090599999999995
9.85,55.74,1.0,51.5814
6.16,24.6,0.0,1.3068
9.41,26.57,1.0,5.742000000000001
9.51,47.24,1.0,28.968000000000004
8.4,44.47,0.0,12.2895
5.52,31.14,1.0,4.6592
9.47,58.62,0.0,54.6183
10.0,45.49,1.0,32.763600000000004
9.42,22.92,0.0,5.404
4.92,35.03,1.0,5.063400000000001
4.6,73.67,1.0,57.84450000000001
7.89,51.67,1.0,35.624
4.65,42.66,1.0,18.6965
7.43,76.59,0.0,65.8692
6.97,34.23,2.0,7.051799999999999
5.41,50.01,1.0,15.4693
8.81,43.85,0.0,13.1808
5.15,74.03,0.0,48.593999999999994
8.51,58.51,1.0,69.90180000000001
6.75,25.68,2.0,0.7340000000000001
7.1,17.0,2.0,2.998
6.81,47.84,1.0,52.3786
6.85,38.87,2.0,23.8326
10.0,53.11,1.0,50.078
2.8,62.58,0.0,20.8211
9.81,18.7,1.0,6.016
2.93,53.84,0.0,8.548
9.23,68.24,0.0,56.876599999999996
6.78,37.77,1.0,14.4993
8.09,71.15,0.0,63.504
6.68,31.33,1.0,1.8448
6.85,37.64,0.0,4.63
7.18,65.09,0.0,49.7871
7.43,47.35,1.0,31.3329
5.54,18.32,2.0,1.1429
4.46,35.61,0.0,0.52
1.71,48.31,1.0,18.2457
6.93,20.12,2.0,3.1836
10.0,59.34,0.0,32.1906
3.65,54.36,0.0,14.2508
10.0,28.21,1.0,10.2623
7.49,23.84,0.0,1.5264000000000002
6.95,79.09,0.0,69.5514
8.41,65.27,0.0,63.374399999999994
6.45,36.99,0.0,5.012
5.67,48.5,1.0,17.2482
3.93,52.2,1.0,44.0995
6.99,10.29,2.0,1.014
6.62,25.07,2.0,5.756500000000001
6.31,35.7,0.0,6.534
8.87,36.25,1.0,23.7132
6.34,24.63,2.0,10.0086
8.65,26.62,1.0,8.8308
4.43,46.17,2.0,38.7828
8.97,33.53,2.0,34.3683
9.59,28.14,0.0,12.429
7.12,24.77,2.0,16.2573
7.08,58.15,1.0,71.0431
8.55,51.98,1.0,43.08689999999999
8.15,58.57,1.0,69.94080000000001
6.03,66.47,1.0,49.0098
7.27,55.27,2.0,65.4264
10.0,25.33,1.0,7.2692
5.93,65.62,0.0,52.7544
8.13,25.86,1.0,4.2795
8.0,72.89,1.0,80.22980000000001
7.18,55.27,1.0,43.5708
9.44,55.06,0.0,31.8
10.0,37.95,0.0,24.7086
10.0,31.23,1.0,12.9448
8.7,69.77,0.0,43.8058
9.79,49.23,1.0,29.792
4.94,57.27,0.0,14.65
3.63,70.67,1.0,59.8955
1.71,32.81,2.0,10.4202
5.94,43.28,2.0,33.9955
10.0,22.2,1.0,8.2698
7.54,21.69,1.0,3.6179
5.36,30.5,0.0,6.276
10.0,50.92,0.0,22.919700000000002
5.3,33.58,1.0,4.9126
5.25,28.77,1.0,3.1467
5.74,25.58,1.0,2.3487999999999998
8.68,42.94,1.0,31.9124
4.49,40.14,2.0,3.822
8.02,30.33,1.0,10.521
4.68,45.49,1.0,20.3262
8.02,39.48,1.0,34.926500000000004
8.29,51.63,0.0,26.261599999999998
5.91,64.29,0.0,48.412
6.48,19.92,2.0,5.9303
2.86,83.65,0.0,80.2179
7.63,23.48,1.0,9.945
6.76,29.65,2.0,12.7887
4.86,69.04,1.0,71.2065
10.0,62.51,1.0,77.92720000000001
7.29,46.36,0.0,21.93
6.72,34.61,2.0,25.710300000000004
9.75,16.84,0.0,2.4939
3.15,19.89,2.0,7.588799999999999
5.27,45.42,0.0,9.4752
6.22,57.76,1.0,58.507600000000004
3.1,42.47,1.0,7.431
6.25,33.9,1.0,8.3694
2.94,57.45,2.0,57.78059999999999
4.61,36.54,1.0,8.8615
7.55,49.21,2.0,29.93
6.52,71.06,0.0,57.9502
7.37,54.9,0.0,34.32
4.69,53.19,1.0,27.881
6.34,47.44,0.0,17.8923
6.2,42.69,0.0,5.3816
3.26,26.18,2.0,1.5236
8.39,34.27,0.0,13.3408
9.72,41.82,1.0,26.8348
9.29,33.93,1.0,16.4546
3.49,27.49,1.0,4.238
8.66,34.81,1.0,16.403499999999998
6.0,55.37,1.0,58.02450000000001
10.0,24.95,1.0,7.9365000000000006
6.72,72.57,0.0,55.885799999999996
9.23,30.87,1.0,15.686
4.64,26.1,1.0,2.1405
7.05,67.45,1.0,60.015600000000006
10.0,44.06,2.0,65.5842
4.24,49.49,0.0,14.154200000000001
7.37,29.01,0.0,8.0883
8.48,57.46,1.0,52.081199999999995
6.1,33.83,1.0,17.633000000000003
5.41,49.61,1.0,23.6468
9.57,61.69,1.0,60.3512
7.68,62.64,1.0,66.1608
10.0,37.84,1.0,25.840500000000002
6.4,78.15,0.0,66.0698
7.71,46.08,1.0,30.9672
4.99,81.28,0.0,53.523599999999995
8.94,27.52,2.0,10.9675
5.31,62.86,1.0,52.742399999999996
8.17,35.45,1.0,11.848199999999999
6.45,49.07,1.0,32.604
6.93,37.44,0.0,5.100300000000001
7.21,34.16,1.0,8.132800000000001
7.15,62.67,1.0,74.92250000000001
7.2,53.66,2.0,57.6264
4.4,50.96,1.0,24.1668
7.83,39.76,2.0,24.7163
5.96,49.81,1.0,31.266399999999997
8.04,79.86,0.0,69.8566
8.17,23.99,2.0,18.221500000000002
5.42,40.81,1.0,8.2962
4.58,34.92,1.0,8.9831
7.88,35.62,1.0,17.808
6.93,59.96,1.0,49.3335
7.31,32.57,0.0,7.2992
6.18,40.43,2.0,28.1475
6.41,45.37,0.0,8.3988
5.46,91.1,0.0,75.2675
7.23,26.87,1.0,0.8172999999999999
5.92,59.69,1.0,52.38089999999999
3.18,31.25,1.0,6.0762
7.08,68.37,0.0,73.1675
7.18,38.24,0.0,10.256400000000001
10.0,24.62,1.0,1.5696
5.15,45.25,0.0,16.5412
6.94,36.54,1.0,18.673199999999998
9.13,28.56,2.0,13.031999999999998
7.42,43.8,2.0,56.7936
8.41,34.3,0.0,14.208599999999999
7.43,31.98,1.0,6.881
7.08,63.59,0.0,68.9796
6.99,51.1,0.0,21.670699999999997
7.71,31.12,1.0,5.725599999999999
8.97,26.82,0.0,7.5603
10.0,29.78,0.0,4.204199999999999
4.07,46.35,1.0,28.6488
5.26,22.86,1.0,2.8575999999999997
9.53,38.28,1.0,25.509
8.96,27.62,0.0,10.714500000000001
7.21,49.83,0.0,19.699199999999998
7.26,34.33,0.0,4.9329
8.0,49.66,0.0,29.0376
7.87,22.96,1.0,2.6826
5.87,62.44,2.0,71.11439999999999
4.22,32.23,0.0,5.1325
5.45,32.2,1.0,4.2527
6.74,71.93,0.0,39.117000000000004
7.01,59.04,1.0,53.145599999999995
5.78,26.53,2.0,4.776
10.0,59.82,0.0,57.3983
5.24,46.89,2.0,63.5687
5.15,57.12,1.0,34.53
6.67,37.05,1.0,8.5854
5.0,67.78,1.0,49.8336
9.64,30.38,2.0,31.435199999999995
6.95,58.42,0.0,47.785
10.0,45.18,0.0,18.732
9.97,20.97,2.0,7.2114
6.46,47.22,1.0,23.4433
5.54,60.46,0.0,30.0168
7.76,46.71,1.0,32.546400000000006
9.68,21.4,2.0,5.1863
4.83,54.57,0.0,26.331
3.08,49.67,1.0,24.180300000000003
6.11,55.51,1.0,52.2025
5.45,46.03,0.0,19.348799999999997
8.97,37.85,1.0,23.064100000000003
4.89,33.05,2.0,13.5354
7.96,45.02,1.0,35.4394
5.74,22.24,1.0,3.4776
5.44,53.32,1.0,21.640500000000003
7.94,71.99,1.0,78.7524
4.46,41.31,1.0,25.8612
9.37,47.81,2.0,64.141
7.52,64.35,1.0,59.17979999999999
5.32,31.91,1.0,1.972
10.0,26.73,2.0,22.1464
10.0,45.38,1.0,26.723699999999997
3.19,69.31,1.0,69.3225
6.27,89.75,0.0,73.5228
6.12,27.5,0.0,1.1508
5.44,72.99,1.0,68.1632
9.42,48.73,1.0,32.3246
5.3,27.77,1.0,1.608
6.56,62.68,1.0,74.4344
6.48,69.71,0.0,60.942
2.36,81.94,0.0,54.5282
8.64,43.75,0.0,18.3792
10.0,60.58,1.0,62.693999999999996
5.41,49.15,1.0,22.163200000000003
7.94,38.04,0.0,13.4799
7.33,39.23,1.0,22.454100000000004
8.49,18.97,2.0,3.9675
10.0,12.67,1.0,2.5278
6.81,63.29,1.0,71.277
4.38,34.36,1.0,11.1501
10.0,23.34,0.0,5.314400000000001
6.91,39.85,0.0,5.041399999999999
5.03,55.13,0.0,32.256
6.26,27.79,1.0,6.2636
6.74,54.09,2.0,52.126099999999994
4.8,55.21,0.0,27.4767
5.21,46.3,1.0,22.547199999999997
8.99,57.78,1.0,55.0836
7.57,69.77,1.0,67.00099999999999
8.53,56.13,1.0,57.618
8.22,47.58,1.0,27.1078
4.88,36.19,1.0,5.568
6.95,18.69,2.0,2.6118
9.75,13.32,0.0,3.4419
7.12,19.65,2.0,1.051
8.77,44.02,1.0,23.3629
8.17,13.19,0.0,1.005
5.24,35.22,1.0,11.137
9.22,57.44,1.0,60.1125
9.79,44.82,0.0,20.0925
7.15,59.31,1.0,49.803599999999996
9.08,64.2,1.0,70.7041
7.21,61.72,1.0,73.3724
7.09,18.77,2.0,0.691
6.37,23.05,1.0,4.405
5.0,40.19,2.0,28.721
5.64,72.97,1.0,71.35520000000001
4.83,58.88,0.0,30.8644
9.43,37.98,1.0,26.632800000000003
7.07,53.91,0.0,35.724
9.41,25.04,1.0,7.306699999999999
2.81,88.92,0.0,59.4354
4.88,45.78,2.0,29.222
6.01,56.2,1.0,38.709
8.81,25.38,1.0,7.0525
7.37,29.6,1.0,4.6475
6.99,37.48,1.0,23.105999999999998
3.68,87.67,0.0,67.518
8.58,52.1,1.0,51.13849999999999
6.95,33.61,2.0,24.6114
10.0,36.92,0.0,9.7964
2.47,55.56,2.0,41.9862
6.74,58.02,1.0,55.3076
4.76,58.16,1.0,33.32939999999999
4.68,54.92,1.0,19.9864
5.68,56.75,1.0,63.6025
10.0,52.84,2.0,80.9319
7.1,58.52,0.0,31.3891
6.44,57.84,1.0,31.722600000000003
6.5,51.95,1.0,38.9215
7.67,22.31,2.0,4.4925
6.04,58.55,2.0,57.162600000000005
7.58,55.45,1.0,45.1836
7.43,20.8,2.0,16.815
6.79,51.66,1.0,44.2364
7.78,36.21,1.0,12.335999999999999
5.48,80.2,0.0,69.651
6.58,41.58,0.0,10.0926
4.32,68.88,1.0,62.150200000000005
3.47,86.05,0.0,73.623
9.64,25.03,0.0,5.9872000000000005
8.5,26.26,0.0,2.4928
9.68,42.26,1.0,33.3996
8.91,57.15,1.0,64.0375
5.57,55.35,0.0,11.954
2.69,51.31,0.0,19.0503
5.5,74.47,0.0,59.9352
7.91,25.69,0.0,1.8696000000000002
7.17,16.96,2.0,3.3768000000000002
7.08,35.14,2.0,25.259
6.23,66.74,1.0,60.92100000000001
4.65,19.63,2.0,0.5
10.0,42.8,1.0,34.0158
8.22,62.04,1.0,71.331
8.04,18.77,1.0,1.6497
3.96,35.23,0.0,5.0625
6.63,23.06,2.0,6.336
8.13,33.37,2.0,45.087399999999995
10.0,14.61,0.0,1.1077000000000001
9.18,42.2,2.0,55.78229999999999
6.32,38.34,0.0,12.4804
8.39,52.43,1.0,49.0
7.75,52.99,1.0,44.5563
8.6,22.19,1.0,8.0322
6.37,30.03,0.0,2.835
7.31,42.16,1.0,20.449399999999997
5.31,43.53,1.0,11.704
6.37,35.38,1.0,10.453800000000001
9.41,25.89,1.0,11.478599999999998
7.44,37.55,1.0,26.943
4.18,38.05,2.0,24.468000000000004
6.08,31.98,2.0,15.1476
8.31,50.14,2.0,67.584
3.5,46.01,0.0,4.1601
8.5,55.11,0.0,30.7192
9.12,38.06,2.0,30.058799999999998
7.63,33.54,1.0,10.9536
5.78,42.74,0.0,14.4207
3.75,65.05,0.0,38.8938
4.89,45.84,1.0,17.617600000000003
10.0,29.25,1.0,13.138699999999998
6.71,27.17,2.0,7.0034
9.48,28.1,1.0,4.2922
6.36,32.14,0.0,4.122299999999999
5.58,73.56,0.0,61.20400000000001
6.91,52.0,1.0,18.524
9.51,15.12,1.0,0.55
8.17,20.06,2.0,11.308
4.88,70.03,1.0,50.8032
5.59,68.55,0.0,45.531000000000006
4.25,70.08,0.0,51.6978
9.61,19.78,1.0,1.1611
7.37,46.44,2.0,59.6496
7.57,29.55,1.0,7.385
7.86,54.84,1.0,39.3918
6.93,62.53,1.0,48.5595
5.59,30.24,2.0,9.89
3.03,56.93,2.0,70.95360000000001
7.35,24.02,1.0,2.3904
10.0,24.98,2.0,29.6835
5.09,45.83,1.0,24.9106
3.39,75.93,1.0,75.756
6.39,70.02,0.0,41.328
7.73,34.4,1.0,8.9034
4.98,35.87,0.0,12.995999999999999
5.78,61.08,1.0,56.928200000000004
4.51,42.18,0.0,4.587
7.09,40.41,0.0,10.615499999999999
7.72,28.79,0.0,2.5593
6.29,74.65,1.0,63.97599999999999
5.18,56.92,1.0,37.9906
8.19,21.34,2.0,7.0092
8.48,50.16,1.0,32.7478
6.6,57.32,2.0,72.8676
7.72,40.59,1.0,20.4566
8.73,66.14,0.0,65.988
5.32,43.38,2.0,12.2805
4.13,60.75,1.0,48.248200000000004
8.55,59.61,1.0,71.568
10.0,46.59,2.0,58.7895
2.99,34.44,1.0,7.9365
10.0,25.45,0.0,5.3472
6.87,40.16,0.0,28.9538
8.94,57.06,1.0,58.023
4.36,52.77,0.0,14.9914
5.9,30.57,1.0,3.0891
8.87,57.34,0.0,29.4592
8.9,16.83,2.0,2.8072
6.4,26.6,1.0,7.8688
6.81,49.96,2.0,52.381
6.08,69.72,1.0,63.09360000000001
4.36,79.76,0.0,76.4598
7.24,33.13,1.0,8.7906
6.73,24.64,1.0,4.355
6.21,43.42,2.0,28.9254
4.35,48.53,2.0,46.0722
6.51,62.42,1.0,54.47820000000001
7.39,42.9,2.0,48.431
8.17,21.36,1.0,3.3241999999999994
7.32,44.03,1.0,24.2352
3.85,30.78,1.0,6.0760000000000005
6.45,41.11,2.0,17.5218
8.9,66.03,1.0,57.955299999999994
5.87,28.47,1.0,2.7342
3.01,59.72,1.0,26.977999999999998
6.0,62.52,1.0,73.6554
5.8,42.57,0.0,5.3284
9.19,49.15,1.0,35.7085
8.35,26.88,1.0,2.2734
10.0,52.84,0.0,36.472
7.58,30.22,1.0,11.033399999999999
10.0,32.11,2.0,41.4207
10.0,56.01,1.0,56.9088
8.22,37.94,1.0,20.2032
8.9,53.81,1.0,47.3156
8.93,26.14,0.0,3.75
8.47,58.0,0.0,31.215600000000006
5.23,56.87,1.0,61.354800000000004
6.63,29.75,0.0,3.1773000000000002
6.56,31.88,1.0,7.5038
9.15,40.43,1.0,23.631400000000003
8.11,54.73,1.0,50.0832
7.37,65.79,0.0,59.0453
4.56,57.66,0.0,24.316399999999998
5.97,42.17,1.0,6.8576
5.87,18.61,2.0,3.4375
10.0,29.71,2.0,23.1528
6.58,37.09,1.0,12.0048
5.29,68.11,1.0,75.4374
7.31,38.79,1.0,22.134
7.56,40.77,0.0,15.0807
6.72,44.76,1.0,24.863699999999998
9.95,32.27,0.0,13.723199999999999
9.38,22.8,1.0,3.22
5.68,52.7,2.0,54.964000000000006
5.44,23.26,1.0,0.8483999999999999
4.1,32.33,1.0,11.840399999999999
10.0,39.37,2.0,52.0896
5.73,63.47,1.0,57.0588
7.02,53.61,2.0,72.23320000000001
6.08,61.21,0.0,37.8672
4.48,30.14,1.0,5.4351
9.68,32.15,2.0,36.490500000000004
7.98,22.82,1.0,3.2328
6.5,63.21,1.0,39.4167
3.33,56.03,1.0,27.9323
6.76,68.81,1.0,71.9316
8.01,27.07,1.0,4.199
4.96,80.33,0.0,65.3679
8.87,21.7,0.0,2.2704
9.4,31.26,1.0,14.0085
7.97,22.9,0.0,3.9204000000000003
5.08,32.63,2.0,12.9605
5.73,38.59,1.0,16.4985
7.95,22.06,1.0,1.8485999999999998
9.3,39.67,0.0,20.461199999999998
6.05,30.76,1.0,9.1368
6.82,40.22,1.0,30.5325
5.65,28.91,1.0,1.4125999999999999
6.33,23.29,1.0,8.7666
9.6,33.89,0.0,14.181799999999999
6.94,25.04,2.0,13.841499999999998
4.9,57.54,2.0,44.0312
4.24,27.99,0.0,2.6571000000000002
6.54,68.64,1.0,71.4372
9.95,38.63,1.0,31.020799999999998
4.93,73.88,0.0,47.918
8.12,24.38,0.0,4.1834
8.44,37.61,1.0,37.56
4.35,41.81,2.0,52.43
5.08,45.92,0.0,18.5436
5.9,24.59,0.0,1.014
8.15,25.04,2.0,10.962
3.06,57.71,1.0,34.4045
9.53,35.97,0.0,11.828
4.98,37.17,1.0,4.8384
5.94,43.85,2.0,28.258999999999997
2.64,77.82,1.0,77.48910000000001
5.76,41.85,1.0,24.0786
10.0,46.01,0.0,18.311999999999998
5.0,70.79,0.0,54.35
9.91,48.23,1.0,40.4708
3.71,72.27,0.0,55.9845
5.15,39.88,1.0,5.3312
7.01,33.38,1.0,12.9312
7.58,52.95,1.0,30.787599999999998
7.7,36.65,1.0,17.6202
4.09,20.33,2.0,2.3958
10.0,57.8,1.0,53.9643
6.66,43.96,2.0,25.855300000000003
8.79,24.74,1.0,5.243199999999999
5.52,80.16,0.0,51.2373
7.69,53.56,0.0,32.1408
6.25,37.17,2.0,27.069000000000003
9.07,70.96,0.0,72.5724
8.17,35.43,0.0,11.0688
7.61,15.85,1.0,0.958
7.08,23.5,1.0,1.0044
3.63,47.2,2.0,45.623000000000005
10.0,70.68,0.0,58.7921
10.0,48.22,0.0,30.6223
7.51,40.53,1.0,27.792
